50	9.84	15.2	1.544715447
60	9.84	15.2	1.544715447
70	9.84	15.2	1.544715447
80	9.84	15.2	1.544715447
90	9.84	15.2	1.544715447
100	9.84	15.2	1.544715447
150	9.84	15	1.524390244
200	9.84	15	1.524390244
250	9.84	14.8	1.504065041
300	9.84	14.8	1.504065041
350	9.84	14.8	1.504065041
400	9.84	14.6	1.483739837
450	9.84	14.6	1.483739837
500	9.84	14.4	1.463414634
600	9.84	14.2	1.443089431
700	9.84	14	1.422764228
800	9.84	13.6	1.382113821
900	9.84	13.2	1.341463415
1000	9.84	12.6	1.280487805
1500	9.84	9.6	0.975609756
2000	9.84	6.8	0.691056911
2500	9.84	5	0.508130081
3000	9.84	3.6	0.365853659
3500	9.84	2.66	0.270325203
4000	9.84	2.04	0.207317073
4500	9.84	1.64	0.166666667
5000	9.84	1.32	0.134146341
6000	9.84	0.92	0.093495935
7000	9.84	0.69	0.070121951
8000	9.84	0.54	0.054878049
9000	9.84	0.42	0.042682927
10000	9.84	0.34	0.034552846
11000	9.84	0.29	0.029471545
12000	9.84	0.23	0.023373984
13000	9.84	0.2	0.020325203
14000	9.84	0.17	0.017276423
15000	9.84	0.15	0.015243902
1250	9.84	11.2	1.138211382
1750	9.84	8.08	0.821138211
2250	9.84	5.68	0.577235772
2750	9.84	4.08	0.414634146
