100	54.1
200	54.1
300	54
400	53.8
500	53.7
600	53.6
700	53.5
800	53.3
900	53.2
1000	53.1
1500	52.5
2000	51.9
2500	51.2
3000	50.6
3500	50
4000	49.5
4500	48.9
5000	48.3
6000	47.2
7000	46.1
8000	45
9000	44
10000	43
15000	38.6
20000	34.9
